下游动态打点表,,,"上游表
dm_oewm.oewm_receive_flow_ez",,,差异,
hour,count(1),pickup_piece_cnt,hour,count(1),pickup_piece_cnt,行数差异,票数差异
1,80349,111703,1,80349,111703,0,0
2,115301,186555,2,115301,186555,0,0
3,136681,235873,3,136681,235873,0,0
4,150265,263035,4,150265,263035,0,0
5,157557,279659,5,157557,279659,0,0
6,164179,297943,6,164179,297943,0,0
7,185399,329350,7,185399,329350,0,0
8,267304,444121,8,267304,444121,0,0
9,1064669,1348955,9,1064669,1348955,0,0
10,2387978,2995196,10,2393820,3004074,5842,8878
11,2435121,3055429,11,3891939,4961022,1456818,1905593
12,2435121,3055429,12,5333621,6933877,2898500,3878448
13,2435121,3055429,13,6179001,8086785,3743880,5031356
14,2435121,3055429,14,7040508,9355832,4605387,6300403
15,2435121,3055429,15,8310743,11205430,5875622,8150001
16,2435133,3055455,16,9970085,13651110,7534952,10595655
17,11996948,16674382,17,11996948,16674382,0,0
18,14296798,20187398,18,14296798,20187398,0,0
,,,,,,,
,,,,,,,
,,,,,,,
下游动态打点表,,,"上游表
dm_oewm.oewm_receive_flow_ez",,,差异,
hour,count(1),pickup_piece_cnt,hour,count(1),pickup_piece_cnt,行数差异,票数差异
1,80349,111703,1,80349,111703,0,0
2,115301,186555,2,115301,186555,0,0
3,136681,235873,3,136681,235873,0,0
4,150265,263035,4,150265,263035,0,0
5,157557,279659,5,157557,279659,0,0
6,164179,297943,6,164179,297943,0,0
7,185399,329350,7,185399,329350,0,0
8,267304,444121,8,267304,444121,0,0
9,1064669,1348955,9,1064669,1348955,0,0
10,2393820,3004074,10,2393820,3004074,0,0
11,3891939,4961022,11,3891939,4961022,0,0
12,5333621,6933877,12,5333621,6933877,0,0
13,6179001,8086785,13,6179001,8086785,0,0
14,7040508,9355832,14,7040508,9355832,0,0
15,8310743,1.12E+07,15,8310743,1.12E+07,0,0
16,9970085,1.37E+07,16,9970085,1.37E+07,0,0
17,11996948,1.67E+07,17,11996948,16674382,0,0
18,14296798,2.02E+07,18,14296798,20187398,0,0
