NEW_partition_key_1,count_num_1,predict_quantity_1,predict_weight_1,,OLDpartition_key_1,count_num_1,predict_quantity_1,predict_weight_1,,≤Ó“Ïcount,≤Ó“Ïquantity,≤Ó“Ïpredict_weight,,,–¥»Î‘≠ º±Ìpartition_key_1,count_num_1,predict_quantity_1,predict_weight_1,,,,
20220718,96597,2270240,5128827,,20220718,96597,2270240,5128827,,0,0,0,,,20220718,96597,2270240,5128827,,0,0,0
20220719,106626,2319823,5336042,,20220719,106626,2319823,5336042,,0,0,0,,,20220719,106626,2319823,5336042,,0,0,0
20220720,106633,2377016,5420121,,20220720,106633,2377016,5420121,,0,0,0,,,20220720,106633,2377016,5420121,,0,0,0
20220721,106835,2305303,5291154,,20220721,106835,2305303,5291154,,0,0,0,,,20220721,106835,2305303,5291154,,0,0,0
20220722,106929,2266098,5209753,,20220722,106929,2266098,5209753,,0,0,0,,,20220722,106929,2266098,5209753,,0,0,0
20220723,107925,1670873,4209133,,20220723,107925,1670873,4209133,,0,0,0,,,20220723,107925,1670873,4209133,,0,0,0
20220724,101644,1321012,3299972,,20220724,101644,1321012,3299972,,0,0,0,,,20220724,101644,1321012,3299972,,0,0,0
20220725,95900,2270456,5037362,,20220725,95900,2270456,5037362,,0,0,0,,,20220725,95900,2270456,5037362,,0,0,0
20220726,104761,2309814,4724575,,20220726,104761,2309814,4724575,,0,0,0,,,20220726,104761,2309814,4724575,,0,0,0
20220727,105653,2356499,5308764,,20220727,105653,2356499,5308764,,0,0,0,,,20220727,105653,2356499,5308764,,0,0,0
20220728,106527,2325438,5256019,,20220728,106527,2325438,5256019,,0,0,0,,,20220728,106527,2325438,5256019,,0,0,0
20220729,105618,2276315,5213000,,20220729,105618,2276315,5213000,,0,0,0,,,20220729,105618,2276315,5213000,,0,0,0
20220730,106596,1656062,4171138,,20220730,106596,1656062,4171138,,0,0,0,,,20220730,106596,1656062,4171138,,0,0,0
20220731,12985,833265,1814490,,20220731,12985,833265,1814490,,0,0,0,,,20220731,12985,833265,1814490,,0,0,0
