dept_code,dept_code_2
553WH,553WH
574WS,574WS
351WK,351WK
575WH,575WH
760WL,760WL
760WH,760WH
020WH,020WH
757WK,757WK
513VJ,513VJ
021WW,021WW
898WH,898WH
574VJ,574VJ
371WJ,371WJ
772VH,772VH
514WH,514WH
021WX,021WX
027WK,027WK
531WKL,531WKL
513WH,513WH
755WL,755WL
558WH,558WH
023WH,023WH
753WH,753WH
757WL,757WL
519WH,519WH
311WH,311WH
515VH,515VH
022WJ,022WJ
769WS,769WS
951WH,951WH
516VH,516VH
7311WH,7311WH
510WH,510WH
571WS,571WS
027WH,027WH
052VK,052VK
573VL,573VL
791WH,791WH
537VH,537VH
797VH,797VH
579WX,579WX
874VH,874VH
536WK,536WK
592WH,592WH
572VJ,null
028WH,028WH
516WH,516WH
539WH,539WH
551VJ,551VJ
533WH,533WH
371WHL,371WHL
027WJ,027WJ
591WH,591WH
551VL,551VL
020WS,020WS
771WH,771WH
471WH,471WH
577WH,577WH
532WH,532WH
010WS,010WS
451WH,451WH
7311WJ,7311WJ
763WH,763WH
317VH,317VH
022WH,022WH
573XF,573XF
937VH,937VH
532VH,532VH
379VJ,379VJ
020WK,020WK
757WH,757WH
576WH,576WH
579WH,579WH
752WH,752WH
318VH,318VH
851WH,851WH
660VH,660VH
8981VH,8981VH
755VF,755VF
311VJ,311VJ
971WH,971WH
025WH,025WH
891VH,891VH
534VH,534VH
752WK,752WK
531WH,531WH
512WH,512WH
595WH,595WH
510VH,510VH
663WH,663WH
817VH,817VH
535WH,535WH
027VX,027VX
311WK,311WK
791WS,791WS
530VH,530VH
024WH,024WH
571XF,571XF
575WK,575WK
021WV,021WV
029WH,029WH
575VJ,575VJ
411WH,411WH
573WH,573WH
379VH,379VH
536WH,536WH
532WK,532WK
931WH,931WH
543VH,543VH
762VH,762VH
028WK,028WK
762WH,762WH
553VH,553VH
315VH,315VH
517WH,517WH
022WS,022WS
797WK,797WK
769WK,769WK
431WH,431WH
512WJ,512WJ
010WK,010WK
991WH,991WH
316WH,316WH
395WH,395WH
572VS,572VS
574WG,574WG
579VH,579VH
512WX,512WX
575VH,575VH
531WK,531WK
351WF,351WF
551WH,551WH
668VH,668VH
022WK,022WK
871WH,871WH
312WH,312WH
574VL,574VL
371WH,371WH
