shift_no_1,site_code_1,next_site_code_1,shift_no_2,site_code_2,next_site_code_2
2308293080910002,S020WB,991WH,2308293080910002,S020WB,991WH
2308293082116002,S020WA,991WH,2308293082116002,S020WA,991WH
2308303080910002,S020WB,991WH,2308303080910002,S020WB,991WH
2308303082116002,S020WA,991WH,2308303082116002,S020WA,991WH
2308311120517025,029WH,991WH,2308311120517025,029WH,991WH
2308313080910002,S020WB,991WH,2308313080910002,S020WB,991WH
2308313082116002,S020WA,991WH,2308313082116002,S020WA,991WH
230901017630079,024WH,851WH,230901017630079,024WH,851WH
230901017700080,575WK,023WH,230901017700080,575WK,023WH
230901017700080,575WK,028WH,230901017700080,575WK,028WH
2309011127684539,024WH,769WK,2309011127684539,024WH,769WK
2309011127807959,029WH,991WH,2309011127807959,029WH,991WH
2309011128168739,029WH,991WH,2309011128168739,029WH,991WH
2309011128224491,311WH,757WL,2309011128224491,311WH,757WL
2309011129716456,573XF,510WH,2309011129716456,573XF,510WH
2309011130546375,752WH,024WH,2309011130546375,752WH,024WH
2309013081000001,S020WB,991WH,2309013081000001,S020WB,991WH
2309013082200001,S020WA,991WH,2309013082200001,S020WA,991WH
230902016943038,769WK,8981VH,230902016943038,769WK,8981VH
230902017682702,574VJ,028WH,230902017682702,574VJ,028WH
230902017685294,551WH,871WH,230902017685294,551WH,871WH
230902017692582,571XF,024WH,230902017692582,571XF,024WH
230902017693338,311WH,769WK,230902017693338,311WH,769WK
230902017731656,535WH,536WH,230902017731656,535WH,536WH
230902017733902,024WH,769WK,230902017733902,024WH,769WK
230902017734208,024WH,595WH,230902017734208,024WH,595WH
230902017734212,024WH,7311WH,230902017734212,024WH,7311WH
230902017735490,535WH,536WH,230902017735490,535WH,536WH
230902017735652,575WK,571XF,230902017735652,575WK,571XF
2309021127089689,010WK,023WH,2309021127089689,010WK,023WH
2309021127229093,010WK,851WH,2309021127229093,010WK,851WH
2309021127259936,010WK,7311WJ,2309021127259936,010WK,7311WJ
2309021127416913,021WW,431WH,2309021127416913,021WW,431WH
2309021127416913,021WW,451WH,2309021127416913,021WW,451WH
2309021127473614,022WH,431WH,2309021127473614,022WH,431WH
2309021127473614,022WH,451WH,2309021127473614,022WH,451WH
2309021127518349,021WW,351WF,2309021127518349,021WW,351WF
2309021127623569,022WH,757WL,2309021127623569,022WH,757WL
2309021127655782,024WH,471WH,2309021127655782,024WH,471WH
2309021127655804,024WH,871WH,2309021127655804,024WH,871WH
2309021127671230,022WH,451WH,2309021127671230,022WH,451WH
2309021127679552,024WH,532WH,2309021127679552,024WH,532WH
2309021127684510,024WH,573XF,2309021127684510,024WH,573XF
2309021127684540,024WH,769WK,2309021127684540,024WH,769WK
2309021127704862,029WH,931WH,2309021127704862,029WH,931WH
2309021127704892,029WH,951WH,2309021127704892,029WH,951WH
2309021127704922,029WH,991WH,2309021127704922,029WH,991WH
2309021127709554,024WH,551WH,2309021127709554,024WH,551WH
2309021127709580,024WH,7311WH,2309021127709580,024WH,7311WH
2309021127735851,024WH,021WW,2309021127735851,024WH,021WW
2309021127735877,024WH,022WH,2309021127735877,024WH,022WH
2309021127787067,024WH,510WH,2309021127787067,024WH,510WH
2309021127794694,027WH,451WH,2309021127794694,027WH,451WH
2309021127834937,029WH,595WH,2309021127834937,029WH,595WH
2309021127842796,025WH,024WH,2309021127842796,025WH,024WH
2309021127855092,028WH,871WH,2309021127855092,028WH,871WH
2309021127855122,028WH,871WH,2309021127855122,028WH,871WH
2309021127864917,024WH,371WH,2309021127864917,024WH,371WH
2309021127881816,028WH,871WH,2309021127881816,028WH,871WH
2309021127886840,029WH,021WW,2309021127886840,029WH,021WW
2309021127931045,028WH,023WH,2309021127931045,028WH,023WH
2309021127936514,029WH,571XF,2309021127936514,029WH,571XF
2309021127987776,029WH,769WK,2309021127987776,029WH,769WK
2309021128009074,029WH,991WH,2309021128009074,029WH,991WH
2309021128009104,029WH,991WH,2309021128009104,029WH,991WH
2309021128037252,029WH,931WH,2309021128037252,029WH,931WH
2309021128053384,028WH,871WH,2309021128053384,028WH,871WH
2309021128058444,029WH,991WH,2309021128058444,029WH,991WH
2309021128094573,312WH,573XF,2309021128094573,312WH,573XF
2309021128125285,318VH,757WL,2309021128125285,318VH,757WL
2309021128140141,318VH,023WH,2309021128140141,318VH,023WH
2309021128224372,311WH,028WH,2309021128224372,311WH,028WH
2309021128224492,311WH,757WL,2309021128224492,311WH,757WL
2309021128224492,311WH,769WK,2309021128224492,311WH,769WK
2309021128231513,318VH,769WK,2309021128231513,318VH,769WK
2309021128234150,311WH,023WH,2309021128234150,311WH,023WH
2309021128292034,351WF,757WL,2309021128292034,351WF,757WL
2309021128299107,351WF,571XF,2309021128299107,351WF,571XF
2309021128496361,431WH,024WH,2309021128496361,431WH,024WH
2309021128578212,451WH,029WH,2309021128578212,451WH,029WH
2309021128734710,451WH,022WH,2309021128734710,451WH,022WH
2309021128826587,510WH,024WH,2309021128826587,510WH,024WH
2309021128840037,411WH,024WH,2309021128840037,411WH,024WH
2309021128863613,451WH,024WH,2309021128863613,451WH,024WH
2309021128924930,517WH,851WH,2309021128924930,517WH,851WH
2309021128930367,510WH,514WH,2309021128930367,510WH,514WH
2309021129062600,510WH,025WH,2309021129062600,510WH,025WH
2309021129063004,510WH,516WH,2309021129063004,510WH,516WH
2309021129114904,510WH,514WH,2309021129114904,510WH,514WH
2309021129165417,532WH,769WK,2309021129165417,532WH,769WK
2309021129169827,536WH,851WH,2309021129169827,536WH,851WH
2309021129169827,536WH,871WH,2309021129169827,536WH,871WH
2309021129191578,510WH,025WH,2309021129191578,510WH,025WH
2309021129303528,517WH,023WH,2309021129303528,517WH,023WH
2309021129319369,536WH,028WH,2309021129319369,536WH,028WH
2309021129322479,539WH,871WH,2309021129322479,539WH,871WH
2309021129328041,551WH,431WH,2309021129328041,551WH,431WH
2309021129421716,510WH,023WH,2309021129421716,510WH,023WH
2309021129430117,512WH,023WH,2309021129430117,512WH,023WH
2309021129480952,517WH,024WH,2309021129480952,517WH,024WH
2309021129502884,535WH,536WH,2309021129502884,535WH,536WH
2309021129527493,535WH,532WH,2309021129527493,535WH,532WH
2309021129529374,536WH,595WH,2309021129529374,536WH,595WH
2309021129556912,536WH,451WH,2309021129556912,536WH,451WH
2309021129556942,536WH,535WH,2309021129556942,536WH,535WH
2309021129606835,574VJ,024WH,2309021129606835,574VJ,024WH
2309021129651865,573XF,771WH,2309021129651865,573XF,771WH
2309021129667142,579WH,023WH,2309021129667142,579WH,023WH
2309021129667172,579WH,029WH,2309021129667172,579WH,029WH
2309021129710940,579WH,871WH,2309021129710940,579WH,871WH
2309021129716457,573XF,512WH,2309021129716457,573XF,512WH
2309021129716569,571XF,851WH,2309021129716569,571XF,851WH
2309021129716569,573XF,851WH,2309021129716569,573XF,851WH
2309021129736554,592WH,024WH,2309021129736554,592WH,024WH
2309021129736584,592WH,371WH,2309021129736584,592WH,371WH
2309021129917832,579WH,574WG,2309021129917832,579WH,574WG
