area_code,PRO_NAME,LEVEL_2_TYPE,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
010Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
010Y,常温水果项目,生鲜水果,,生鲜类,青梅
020Y,茶叶项目,茶类,,副食干货类,红茶
021Y,龙虾项目,海鲜水产,万元,生鲜类,龙虾
021Y,花卉苗木项目,绿植园艺,,农业生产,永生花
021Y,海鲜水产项目,海鲜水产,,生鲜类,皮皮虾
021Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
024Y,预制菜项目,熟食类,,副食干货类,卤味
025Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
025Y,蔬菜项目,生鲜蔬菜,,生鲜类,马蹄
025Y,常温水果项目,生鲜水果,,生鲜类,青梅
311Y,肉类熟食项目,生鲜肉类,,生鲜类,蝉蛹
311Y,茶叶项目,茶类,,副食干货类,黄茶
316Y,常温水果项目,生鲜水果,,生鲜类,柿子
351Y,肉类熟食项目,生鲜肉类,,生鲜类,兔肉
351Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
431Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
431Y,其他生鲜项目,生鲜食品,万元,生鲜类,其它生鲜食品
431Y,茶叶项目,茶类,,副食干货类,罗汉果
451Y,苹果项目,生鲜水果,万元,生鲜类,苹果
451Y,常温水果项目,生鲜水果,,生鲜类,莲雾/黑金刚莲雾
512Y,预制菜项目,熟食类,,副食干货类,熟食肉类
513Y,预制菜项目,熟食类,,副食干货类,凉拌菜
532Y,禽鱼项目,活体类,,生鲜类,禽类
532Y,常温水果项目,生鲜水果,,生鲜类,橄榄
536Y,猕猴桃项目,生鲜水果,万元,生鲜类,奇异果/猕猴桃
571Y,肉类熟食项目,干货,万元,副食干货类,肉类干货
574Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
579Y,海鲜水产项目,生鲜肉类,,生鲜类,泥鳅
591Y,茶叶项目,茶类,,副食干货类,绿茶
592Y,粮油副食项目,粮油调味,,副食干货类,面食
592Y,茶叶项目,茶类,,副食干货类,黑茶
595Y,预制菜项目,熟食类,,副食干货类,熟食蛋类
595Y,常温水果项目,生鲜水果,,生鲜类,山楂果
731Y,肉类熟食项目,生鲜肉类,,生鲜类,蝉蛹
731Y,牛羊肉项目,生鲜肉类,,生鲜类,牛肉
755Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
760Y,滋补品项目,保健滋补,,医药保健,阿胶
769Y,蔬菜项目,休闲食品,万元,副食干货类,板栗
769Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
791Y,肉类熟食项目,生鲜肉类,,生鲜类,猪肉
871Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸡蛋
931Y,蔬菜项目,生鲜蔬菜,,生鲜类,马蹄
931Y,瓜项目,生鲜水果,,生鲜类,香瓜/甜瓜
991Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
991Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
010Y,茶叶项目,茶类,,副食干货类,罗汉果
021Y,蟹项目,蟹类,,生鲜类,梭子蟹
025Y,滋补品项目,中药材,,医药保健,鹿鞭
025Y,常温水果项目,生鲜水果,,生鲜类,桑葚
027Y,海鲜水产项目,海鲜水产,,生鲜类,贝类
027Y,海鲜水产项目,海鲜水产,,生鲜类,海蛏
028Y,桃项目,生鲜水果,万元,生鲜类,黄桃/水蜜桃
028Y,肉类熟食项目,生鲜肉类,,生鲜类,其它鲜肉
028Y,常温水果项目,生鲜水果,,生鲜类,释迦果
029Y,蔬菜项目,生鲜蔬菜,,生鲜类,鸡头米
311Y,常温水果项目,生鲜水果,,生鲜类,山楂果
311Y,茶叶项目,茶类,,副食干货类,藏茶/老茶
351Y,预制菜项目,熟食类,,副食干货类,熟食蛋类
371Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
451Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
451Y,海鲜水产项目,海鲜水产,,生鲜类,甲鱼
471Y,海鲜水产项目,海鲜水产,,生鲜类,海参
512Y,常温水果项目,生鲜水果,,生鲜类,山楂果
513Y,牛羊肉项目,生鲜肉类,,生鲜类,牛杂
513Y,花卉苗木项目,绿植园艺,,农业生产,永生花
517Y,蔬菜项目,生鲜蔬菜,,生鲜类,菱角
517Y,常温水果项目,生鲜水果,,生鲜类,桑葚
531Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
532Y,粮油副食项目,粮油调味,,副食干货类,面食
536Y,蟹项目,蟹类,万元,生鲜类,大闸蟹
551Y,肉类熟食项目,生鲜肉类,,生鲜类,鸭肉
551Y,茶叶项目,茶类,,副食干货类,花茶
571Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
577Y,常温水果项目,生鲜水果,,生鲜类,橄榄
579Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
579Y,肉类熟食项目,生鲜肉类,,生鲜类,蛇肉
591Y,蔬菜项目,生鲜蔬菜,,生鲜类,菊苣
592Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
592Y,预制菜项目,熟食类,,副食干货类,凉拌菜
731Y,肉类熟食项目,生鲜肉类,,生鲜类,鸡肉
731Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
731Y,干货项目,干货,万元,副食干货类,蔬菜干货
731Y,常温水果项目,生鲜水果,,生鲜类,青梅
757Y,滋补品项目,饮料冲调,万元,副食干货类,蜂蜜
757Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
760Y,肉类熟食项目,生鲜肉类,,生鲜类,鸭肉
769Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
851Y,预制菜项目,熟食类,,副食干货类,香肠火腿
851Y,常温水果项目,生鲜水果,,生鲜类,蓝靛果
991Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
010Y,海鲜水产项目,海鲜水产,,生鲜类,生蚝
020Y,蔬菜项目,休闲食品,万元,副食干货类,板栗
022Y,海鲜水产项目,海鲜水产,,生鲜类,鲍鱼
023Y,预制菜项目,熟食类,,副食干货类,卤味
023Y,蔬菜项目,生鲜蔬菜,,生鲜类,香菇
024Y,茶叶项目,茶类,,副食干货类,青茶
025Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
027Y,肉类熟食项目,生鲜肉类,,生鲜类,鹅肉
027Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
028Y,常温水果项目,生鲜水果,,生鲜类,覆盆莓
029Y,禽鱼项目,活体类,,生鲜类,活体
311Y,粮油副食项目,粮油调味,,副食干货类,面食
316Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
371Y,肉类熟食项目,生鲜肉类,,生鲜类,鹅肉
451Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
536Y,蟹项目,蟹类,,生鲜类,螃蟹
536Y,蔬菜项目,生鲜蔬菜,,生鲜类,鸡头米
551Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
551Y,茶叶项目,茶类,,副食干货类,罗汉果
571Y,蔬菜项目,生鲜蔬菜,,生鲜类,番薯
574Y,月饼项目,月饼类,,副食干货类,流心奶黄月饼
574Y,蔬菜项目,生鲜蔬菜,,生鲜类,山药
579Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
579Y,海鲜水产项目,海鲜水产,,生鲜类,黄鳝
592Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
595Y,茶叶项目,茶类,,副食干货类,花茶
731Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
731Y,牛羊肉项目,生鲜肉类,,生鲜类,羊骨
731Y,茶叶项目,茶类,,副食干货类,茶叶
752Y,预制菜项目,熟食类,,副食干货类,凉拌菜
757Y,荔枝项目,生鲜水果,万元,生鲜类,荔枝
760Y,蟹项目,蟹类,,生鲜类,螃蟹
760Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
760Y,海鲜水产项目,海鲜水产,,生鲜类,墨鱼/鱿鱼/章鱼
769Y,海鲜水产项目,干货,万元,副食干货类,海产干货
771Y,牛羊肉项目,生鲜肉类,,生鲜类,羊排
871Y,蔬菜项目,生鲜蔬菜,,生鲜类,笋
898Y,海鲜水产项目,海鲜水产,,生鲜类,螺类
898Y,常温水果项目,生鲜水果,,生鲜类,青梅
931Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
991Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
991Y,常温水果项目,生鲜水果,,生鲜类,圣女果
