area_code,PRO_NAME,LEVEL_2_TYPE,priority_no,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
010Y,桔橙项目,桔橙,21,万元,生鲜果蔬类,
027Y,其他常温水果项目,其他水果,7,万元,生鲜果蔬类,
731Y,牛羊肉项目,牛羊肉,11,万元,生鲜肉类,
431Y,李子项目,李子,13,万元,生鲜果蔬类,
531Y,其他常温水果项目,山楂,12,万元,生鲜果蔬类,
791Y,蔬菜项目,食用菌,6,万元,生鲜果蔬类,
595Y,龙眼项目,龙眼,10,万元,生鲜果蔬类,
029Y,草莓项目,草莓,22,万元,生鲜果蔬类,
577Y,海鲜水产项目,海蜇,2,万元,海鲜水产类,
871Y,其他常温水果项目,其他水果,7,万元,生鲜果蔬类,
027Y,活体项目,虫类,25,万元,活体类,
010Y,龙虾项目,小龙虾,18,万元,海鲜水产类,
757Y,茶叶项目,花茶,4,万元,茶叶类,
931Y,滋补品项目,中药材,2,万元,南北干货类,
027Y,滋补品项目,银耳,6,万元,南北干货类,
316Y,海鲜水产项目,虾类,1,万元,海鲜水产类,
513Y,蔬菜项目,辣椒,4,万元,生鲜果蔬类,
592Y,蔬菜项目,椿芽,8,万元,生鲜果蔬类,
755Y,茶叶项目,茶叶,4,万元,茶叶类,
517Y,蟹项目,蟹类,3,万元,海鲜水产类,
022Y,干货项目,南北干货,2,万元,南北干货类,
991Y,海鲜水产项目,贝类,19,万元,海鲜水产类,
023Y,蔬菜项目,山药,9,万元,生鲜果蔬类,
769Y,其他常温水果项目,柿子,4,万元,生鲜果蔬类,
851Y,花卉苗木项目,苗木,24,万元,花卉苗木类,
898Y,海鲜水产项目,贝类,5,万元,海鲜水产类,
898Y,粮油副食项目,粮油米面调料,15,万元,粮油米面调料类,
027Y,蔬菜项目,山菜,2,万元,生鲜果蔬类,
027Y,肉类熟食项目,知了猴,1,万元,生鲜肉类,
574Y,粮油副食项目,蛋奶制品,10,万元,生鲜肉类,
574Y,肉类熟食项目,鸡肉,17,万元,生鲜肉类,
351Y,粽子项目,粽子,16,万元,假日类,
022Y,粽子项目,粽子,10,万元,假日类,
510Y,蔬菜项目,椿芽,6,万元,生鲜果蔬类,
024Y,活体项目,观赏类,22,万元,活体类,
769Y,其他常温水果项目,香蕉,4,万元,生鲜果蔬类,
757Y,海鲜水产项目,海蜇,2,万元,海鲜水产类,
898Y,海鲜水产项目,鲅鱼,5,万元,海鲜水产类,
431Y,蔬菜项目,土豆,2,万元,生鲜果蔬类,
431Y,参茸项目,鹿产品类,1,万元,南北干货类,
431Y,参茸项目,参产品类,1,万元,南北干货类,
311Y,海鲜水产项目,其他海鲜水产,12,万元,海鲜水产类,
791Y,干货项目,坚果,4,万元,南北干货类,
579Y,杨梅项目,杨梅,3,万元,生鲜果蔬类,
025Y,中秋项目,月饼,3,万元,假日类,
574Y,蔬菜项目,土豆,7,万元,生鲜果蔬类,
592Y,蔬菜项目,笋,8,万元,生鲜果蔬类,
351Y,粮油副食项目,粮油米面调料,2,万元,粮油米面调料类,
510Y,蔬菜项目,凉瓜,6,万元,生鲜果蔬类,
991Y,瓜项目,西瓜,4,万元,生鲜果蔬类,
760Y,其他常温水果项目,释迦,6,万元,生鲜果蔬类,
757Y,葡萄项目,葡萄,19,万元,生鲜果蔬类,
020Y,蔬菜项目,山药,6,万元,生鲜果蔬类,
898Y,蔬菜项目,其他蔬菜,4,万元,生鲜果蔬类,
532Y,海鲜水产项目,查干湖鱼,1,万元,海鲜水产类,
532Y,干货项目,银耳,4,万元,南北干货类,
536Y,肉类熟食项目,知了猴,5,万元,生鲜肉类,
536Y,海鲜水产项目,鲅鱼,1,万元,海鲜水产类,
025Y,其他常温水果项目,板栗,8,万元,生鲜果蔬类,
517Y,花卉苗木项目,花木盆景,2,万元,花卉苗木类,
010Y,杏项目,杏子,29,万元,生鲜果蔬类,
757Y,其他常温水果项目,百香果,8,万元,生鲜果蔬类,
591Y,肉类熟食项目,肉丸,3,万元,生鲜肉类,
027Y,其他常温水果项目,杨梅,7,万元,生鲜果蔬类,
731Y,中秋项目,月饼,6,万元,假日类,
