上游表,,,,业务区-old,,,
inc_day,inc_dayhour,all_order_num,air_order_num,area_all_order_num,area_air_order_num,diff_all,diff_air
20230601,2023060101,2888064,135923,2888064,135923,0,0
20230601,2023060102,4390466,217619,4390466,217619,0,0
20230601,2023060103,5496624,266995,5496624,266995,0,0
20230601,2023060104,6066631,290595,6066631,290595,0,0
20230601,2023060105,6421345,311053,6421345,311053,0,0
20230601,2023060106,6776726,331996,6776726,331996,0,0
20230601,2023060107,7386766,372285,7386766,372285,0,0
20230601,2023060108,8715230,467352,8715230,467352,0,0
20230601,2023060109,11532463,667978,11532463,667978,0,0
20230601,2023060110,15317564,997525,15317564,997525,0,0
20230601,2023060111,19028184,1366151,19028184,1366151,0,0
20230601,2023060112,22118145,1708505,22118145,1708505,0,0
20230601,2023060113,24337095,1941421,24337095,1941421,0,0
20230601,2023060114,27043813,2213224,27043813,2213224,0,0
20230601,2023060115,30315798,2574722,30315798,2574722,0,0
20230601,2023060116,33614157,2978533,33614157,2978533,0,0
20230601,2023060117,37155774,3447232,37155774,3447232,0,0
20230601,2023060118,40258743,3896699,40258743,3896699,0,0
20230601,2023060119,42423646,4220427,42423646,4220427,0,0
20230601,2023060120,43967050,4433689,43967050,4433689,0,0
20230601,2023060121,45235384,4563176,45235384,4563176,0,0
20230601,2023060122,46387269,4650832,46387269,4650832,0,0
20230601,2023060123,47443448,4706049,47443448,4706049,0,0
20230601,2023060124,48359075,4743478,48359075,4743478,0,0
20230602,2023060201,615726,26816,615726,26816,0,0
20230602,2023060202,981216,44545,981216,44545,0,0
20230602,2023060203,1162273,54137,1162273,54137,0,0
20230602,2023060204,1269425,59286,1269425,59286,0,0
20230602,2023060205,1374197,62907,1374197,62907,0,0
20230602,2023060206,1508269,71305,1508269,71305,0,0
20230602,2023060207,1758573,85583,1758573,85583,0,0
20230602,2023060208,2605402,136767,2605402,136767,0,0
20230602,2023060209,4811137,297716,4811137,297716,0,0
20230602,2023060210,7769628,579693,7769628,579693,0,0
20230602,2023060211,10852731,926836,10852731,926836,0,0
20230602,2023060212,13426697,1238742,13426697,1238742,0,0
20230602,2023060213,15316314,1461138,15316314,1461138,0,0
20230602,2023060214,17797056,1715271,17797056,1715271,0,0
20230602,2023060215,20707955,2049132,20707955,2049132,0,0
20230602,2023060216,23868775,2456288,23868775,2456288,0,0
20230602,2023060217,27175527,2905990,27175527,2905990,0,0
20230602,2023060218,30110443,3345189,30110443,3345189,0,0
20230602,2023060219,32119048,3672280,32119048,3672280,0,0
20230602,2023060220,33548661,3879299,33548661,3879299,0,0
20230602,2023060221,34652849,4009374,34652849,4009374,0,0
20230602,2023060222,35695366,4093118,35695366,4093118,0,0
20230602,2023060223,36555022,4145376,36555022,4145376,0,0
20230602,2023060224,37332194,4183821,37332194,4183821,0,0
20230603,2023060301,550517,24549,550517,24549,0,0
20230603,2023060302,889863,41297,889863,41297,0,0
20230603,2023060303,1061747,50831,1061747,50831,0,0
20230603,2023060304,1188072,54835,1188072,54835,0,0
20230603,2023060305,1252514,58563,1252514,58563,0,0
20230603,2023060306,1346002,64358,1346002,64358,0,0
20230603,2023060307,1542945,76887,1542945,76887,0,0
20230603,2023060308,2315864,119430,2315864,119430,0,0
20230603,2023060309,4283550,249096,4283550,249096,0,0
20230603,2023060310,6801654,462341,6801654,462341,0,0
20230603,2023060311,9331408,726661,9331408,726661,0,0
20230603,2023060312,11368677,956304,11368677,956304,0,0
20230603,2023060313,13044524,1131094,13044524,1131094,0,0
20230603,2023060314,14990958,1331153,14990958,1331153,0,0
20230603,2023060315,17285314,1577069,17285314,1577069,0,0
20230603,2023060316,19613530,1851833,19613530,1851833,0,0
20230603,2023060317,22117145,2172148,22117145,2172148,0,0
20230603,2023060318,24390976,2496254,24390976,2496254,0,0
20230603,2023060319,26048157,2732201,26048157,2732201,0,0
20230603,2023060320,27276421,2890511,27276421,2890511,0,0
20230603,2023060321,28370519,3019139,28370519,3019139,0,0
20230603,2023060322,29350029,3100223,29350029,3100223,0,0
20230603,2023060323,30273924,3164582,30273924,3164582,0,0
20230603,2023060324,31152407,3214639,31152407,3214639,0,0
20230604,2023060401,659695,32852,659695,32852,0,0
20230604,2023060402,1015556,51075,1015556,51075,0,0
20230604,2023060403,1193131,59811,1193131,59811,0,0
20230604,2023060404,1321667,63292,1321667,63292,0,0
20230604,2023060405,1395509,66593,1395509,66593,0,0
20230604,2023060406,1463790,70535,1463790,70535,0,0
20230604,2023060407,1651590,79091,1651590,79091,0,0
20230604,2023060408,2388292,118434,2388292,118434,0,0
20230604,2023060409,4299918,234088,4299918,234088,0,0
