inc_day,inc_dayhour,all_quantity_num,air_quantity_num,area_all_quantity_num,area_air_quantity_num,diff_all,diff_air
20230601,2023060101,173550,16942,173550,16942,0,0
20230601,2023060102,343034,34554,343034,34554,0,0
20230601,2023060103,529551,50028,529551,50028,0,0
20230601,2023060104,721401,70489,721401,70489,0,0
20230601,2023060105,920619,88208,920619,88208,0,0
20230601,2023060106,1099808,106056,1099808,106056,0,0
20230601,2023060107,1304430,121411,1304430,121411,0,0
20230601,2023060108,1599804,142978,1599804,142978,0,0
20230601,2023060109,2435317,178436,2435317,178436,0,0
20230601,2023060110,3779905,257879,3779905,257879,0,0
20230601,2023060111,5386086,446198,5386086,446198,0,0
20230601,2023060112,6988688,705563,6988688,705563,0,0
20230601,2023060113,8021819,897816,8021819,897816,0,0
20230601,2023060114,9388404,1049338,9388404,1049338,0,0
20230601,2023060115,11115073,1226106,11115073,1226106,0,0
20230601,2023060116,13073324,1449427,13073324,1449427,0,0
20230601,2023060117,15228924,1714469,15228924,1714469,0,0
20230601,2023060118,17450571,2019996,17450571,2019996,0,0
20230601,2023060119,19595422,2456807,19595422,2456807,0,0
20230601,2023060120,21591233,2848314,21591233,2848314,0,0
20230601,2023060121,23108945,3088142,23108945,3088142,0,0
20230601,2023060122,24113564,3237303,24113564,3237303,0,0
20230601,2023060123,24762786,3328474,24762786,3328474,0,0
20230601,2023060124,25122798,3364769,25122798,3364769,0,0
20230602,2023060201,209016,14624,209016,14624,0,0
20230602,2023060202,410305,27587,410305,27587,0,0
20230602,2023060203,577763,47956,577763,47956,0,0
20230602,2023060204,720891,64388,720891,64388,0,0
20230602,2023060205,847650,79296,847650,79296,0,0
20230602,2023060206,953824,88368,953824,88368,0,0
20230602,2023060207,1093338,98907,1093338,98907,0,0
20230602,2023060208,1265519,109767,1265519,109767,0,0
20230602,2023060209,1927133,141620,1927133,141620,0,0
20230602,2023060210,3027150,211305,3027150,211305,0,0
20230602,2023060211,4337474,368236,4337474,368236,0,0
20230602,2023060212,5627862,586548,5627862,586548,0,0
20230602,2023060213,6448180,753680,6448180,753680,0,0
20230602,2023060214,7425357,868432,7425357,868432,0,0
20230602,2023060215,8722528,1003378,8722528,1003378,0,0
20230602,2023060216,10303192,1198340,10303192,1198340,0,0
20230602,2023060217,12063976,1409062,12063976,1409062,0,0
20230602,2023060218,13961059,1676246,13961059,1676246,0,0
20230602,2023060219,15893277,2089908,15893277,2089908,0,0
20230602,2023060220,17567511,2452156,17567511,2452156,0,0
20230602,2023060221,18728653,2678072,18728653,2678072,0,0
20230602,2023060222,19434796,2810473,19434796,2810473,0,0
20230602,2023060223,19857025,2882404,19857025,2882404,0,0
20230602,2023060224,20064354,2912558,20064354,2912558,0,0
20230603,2023060301,139267,11766,139267,11766,0,0
20230603,2023060302,251667,20240,251667,20240,0,0
20230603,2023060303,339236,33074,339236,33074,0,0
20230603,2023060304,398312,40084,398312,40084,0,0
20230603,2023060305,450833,48035,450833,48035,0,0
20230603,2023060306,498004,55216,498004,55216,0,0
20230603,2023060307,553873,62242,553873,62242,0,0
20230603,2023060308,657386,74145,657386,74145,0,0
20230603,2023060309,1117392,98670,1117392,98670,0,0
20230603,2023060310,1983120,151770,1983120,151770,0,0
20230603,2023060311,3044986,264616,3044986,264616,0,0
20230603,2023060312,4146061,443354,4146061,443354,0,0
20230603,2023060313,4894266,580938,4894266,580938,0,0
20230603,2023060314,5719043,679823,5719043,679823,0,0
20230603,2023060315,6790315,793496,6790315,793496,0,0
20230603,2023060316,8098717,946562,8098717,946562,0,0
20230603,2023060317,9581935,1119635,9581935,1119635,0,0
20230603,2023060318,11201059,1341026,11201059,1341026,0,0
20230603,2023060319,12781040,1625355,12781040,1625355,0,0
20230603,2023060320,14071713,1873984,14071713,1873984,0,0
20230603,2023060321,14981182,2035418,14981182,2035418,0,0
20230603,2023060322,15558123,2142996,15558123,2142996,0,0
20230603,2023060323,15901426,2210891,15901426,2210891,0,0
20230603,2023060324,16079880,2237034,16079880,2237034,0,0
20230604,2023060401,125414,9568,125414,9568,0,0
20230604,2023060402,220515,18055,220515,18055,0,0
20230604,2023060403,295366,29628,295366,29628,0,0
20230604,2023060404,348879,37262,348879,37262,0,0
20230604,2023060405,393787,45409,393787,45409,0,0
20230604,2023060406,429574,51250,429574,51250,0,0
20230604,2023060407,474750,57681,474750,57681,0,0
20230604,2023060408,548717,66024,548717,66024,0,0
20230604,2023060409,953469,79463,953469,79463,0,0
20230604,2023060410,1737386,115958,1737386,115958,0,0
20230604,2023060411,2748624,219664,2748624,219664,0,0
20230604,2023060412,3779891,377845,3779891,377845,0,0
20230604,2023060413,4450159,496462,4450159,496462,0,0
20230604,2023060414,5227874,580969,5227874,580969,0,0
20230604,2023060415,6266621,695002,6266621,695002,0,0
20230604,2023060416,7503725,831346,7503725,831346,0,0
20230604,2023060417,8915897,988516,8915897,988516,0,0
20230604,2023060418,10421170,1172117,10421170,1172117,0,0
20230604,2023060419,11866331,1414294,11866331,1414294,0,0
20230604,2023060420,13002575,1608691,13002575,1608691,0,0
20230604,2023060421,13790427,1733204,13790427,1733204,0,0
20230604,2023060422,14256907,1807987,14256907,1807987,0,0
20230604,2023060423,14530608,1847801,14530608,1847801,0,0
20230604,2023060424,14656919,1861605,14656919,1861605,0,0
20230605,2023060501,95004,9490,95004,9490,0,0
20230605,2023060502,167059,17828,167059,17828,0,0
20230605,2023060503,209991,20995,209991,20995,0,0
20230605,2023060504,234535,23580,234535,23580,0,0
20230605,2023060505,256545,26183,256545,26183,0,0
20230605,2023060506,274763,28349,274763,28349,0,0
20230605,2023060507,296283,29523,296283,29523,0,0
20230605,2023060508,354815,32843,354815,32843,0,0
20230605,2023060509,812933,46647,812933,46647,0,0
20230605,2023060510,1699715,92892,1699715,92892,0,0
20230605,2023060511,2778343,219766,2778343,219766,0,0
20230605,2023060512,3852368,419840,3852368,419840,0,0
20230605,2023060513,4545711,581846,4545711,581846,0,0
20230605,2023060514,5315794,678020,5315794,678020,0,0
20230605,2023060515,6371209,805931,6371209,805931,0,0
20230605,2023060516,7691799,987343,7691799,987343,0,0
20230605,2023060517,9223453,1178424,9223453,1178424,0,0
20230605,2023060518,10936246,1445519,10936246,1445519,0,0
20230605,2023060519,12710857,1864679,12710857,1864679,0,0
20230605,2023060520,14183671,2233941,14183671,2233941,0,0
20230605,2023060521,15145182,2459209,15145182,2459209,0,0
20230605,2023060522,15683131,2578415,15683131,2578415,0,0
20230605,2023060523,15984581,2645542,15984581,2645542,0,0
20230605,2023060524,16130269,2675615,16130269,2675615,0,0
20230606,2023060601,94796,6850,94796,6850,0,0
20230606,2023060602,162071,12714,162071,12714,0,0
20230606,2023060603,206619,15996,206619,15996,0,0
20230606,2023060604,233747,18310,233747,18310,0,0
20230606,2023060605,248793,20331,248793,20331,0,0
20230606,2023060606,265002,22692,265002,22692,0,0
20230606,2023060607,286671,25866,286671,25866,0,0
20230606,2023060608,349681,34802,349681,34802,0,0
20230606,2023060609,851950,50245,851950,50245,0,0
20230606,2023060610,1772207,94377,1772207,94377,0,0
20230606,2023060611,2870105,235247,2870105,235247,0,0
20230606,2023060612,3962999,442477,3962999,442477,0,0
20230606,2023060613,4652606,603244,4652606,603244,0,0
20230606,2023060614,5406087,698541,5406087,698541,0,0
20230606,2023060615,6424706,810772,6424706,810772,0,0
20230606,2023060616,7721957,979704,7721957,979704,0,0
20230606,2023060617,9237688,1180893,9237688,1180893,0,0
20230606,2023060618,10925774,1442084,10925774,1442084,0,0
20230606,2023060619,12712658,1857759,12712658,1857759,0,0
20230606,2023060620,14187785,2225423,14187785,2225423,0,0
20230606,2023060621,15164724,2456033,15164724,2456033,0,0
20230606,2023060622,15712708,2576938,15712708,2576938,0,0
20230606,2023060623,16018543,2644030,16018543,2644030,0,0
20230606,2023060624,16161210,2672317,16161210,2672317,0,0
20230607,2023060701,97015,6562,97015,6562,0,0
20230607,2023060702,169324,12978,169324,12978,0,0
20230607,2023060703,206217,16203,206217,16203,0,0
20230607,2023060704,232860,17646,232860,17646,0,0
20230607,2023060705,252354,19753,252354,19753,0,0
20230607,2023060706,260596,20604,260596,20604,0,0
20230607,2023060707,276721,22172,276721,22172,0,0
20230607,2023060708,341394,25140,341394,25140,0,0
20230607,2023060709,835649,39810,835649,39810,0,0
20230607,2023060710,1734066,81887,1734066,81887,0,0
20230607,2023060711,2799520,213772,2799520,213772,0,0
20230607,2023060712,3863199,422452,3863199,422452,0,0
20230607,2023060713,4547399,586625,4547399,586625,0,0
20230607,2023060714,5301256,682490,5301256,682490,0,0
20230607,2023060715,6344845,801437,6344845,801437,0,0
20230607,2023060716,7615777,977775,7615777,977775,0,0
20230607,2023060717,9129227,1185379,9129227,1185379,0,0
20230607,2023060718,10834736,1462524,10834736,1462524,0,0
20230607,2023060719,12589400,1882593,12589400,1882593,0,0
20230607,2023060720,14047156,2255510,14047156,2255510,0,0
20230607,2023060721,14986919,2479329,14986919,2479329,0,0
20230607,2023060722,15544157,2601981,15544157,2601981,0,0
20230607,2023060723,15846476,2676969,15846476,2676969,0,0
20230607,2023060724,15990783,2707003,15990783,2707003,0,0
20230608,2023060801,92426,8493,92426,8493,0,0
20230608,2023060802,163502,16499,163502,16499,0,0
20230608,2023060803,200912,18895,200912,18895,0,0
20230608,2023060804,221540,22511,221540,22511,0,0
20230608,2023060805,239712,25619,239712,25619,0,0
20230608,2023060806,251142,26491,251142,26491,0,0
20230608,2023060807,269369,27628,269369,27628,0,0
20230608,2023060808,326876,33313,326876,33313,0,0
20230608,2023060809,798721,46782,798721,46782,0,0
20230608,2023060810,1642607,84293,1642607,84293,0,0
20230608,2023060811,2675608,206682,2675608,206682,0,0
20230608,2023060812,3718718,404101,3718718,404101,0,0
20230608,2023060813,4390817,568005,4390817,568005,0,0
20230608,2023060814,5136353,672838,5136353,672838,0,0
20230608,2023060815,6154053,796277,6154053,796277,0,0
20230608,2023060816,7420634,974117,7420634,974117,0,0
20230608,2023060817,8918473,1183231,8918473,1183231,0,0
20230608,2023060818,10599199,1449165,10599199,1449165,0,0
20230608,2023060819,12311767,1857725,12311767,1857725,0,0
20230608,2023060820,13775552,2228793,13775552,2228793,0,0
20230608,2023060821,14731694,2462077,14731694,2462077,0,0
20230608,2023060822,15252974,2589404,15252974,2589404,0,0
20230608,2023060823,15552450,2663002,15552450,2663002,0,0
20230608,2023060824,15692720,2692120,15692720,2692120,0,0
20230609,2023060901,89135,9886,89135,9886,0,0
20230609,2023060902,152450,16468,152450,16468,0,0
20230609,2023060903,187881,20335,187881,20335,0,0
20230609,2023060904,209147,22306,209147,22306,0,0
20230609,2023060905,224990,24423,224990,24423,0,0
20230609,2023060906,239059,25275,239059,25275,0,0
20230609,2023060907,255406,26110,255406,26110,0,0
20230609,2023060908,310457,29977,310457,29977,0,0
20230609,2023060909,767651,54663,767651,54663,0,0
20230609,2023060910,1620831,95579,1620831,95579,0,0
20230609,2023060911,2654630,215028,2654630,215028,0,0
20230609,2023060912,3695731,415239,3695731,415239,0,0
20230609,2023060913,4374775,566507,4374775,566507,0,0
20230609,2023060914,5117244,662042,5117244,662042,0,0
20230609,2023060915,6139260,775412,6139260,775412,0,0
20230609,2023060916,7419310,942009,7419310,942009,0,0
20230609,2023060917,8931868,1150218,8931868,1150218,0,0
20230609,2023060918,10616996,1411267,10616996,1411267,0,0
20230609,2023060919,12384328,1809928,12384328,1809928,0,0
20230609,2023060920,13857933,2173136,13857933,2173136,0,0
20230609,2023060921,14819524,2403115,14819524,2403115,0,0
20230609,2023060922,15366152,2525337,15366152,2525337,0,0
20230609,2023060923,15660808,2589913,15660808,2589913,0,0
20230609,2023060924,15807216,2621107,15807216,2621107,0,0
20230610,2023061001,85248,8740,85248,8740,0,0
20230610,2023061002,143145,14598,143145,14598,0,0
20230610,2023061003,175488,17517,175488,17517,0,0
20230610,2023061004,200364,20023,200364,20023,0,0
20230610,2023061005,211560,22480,211560,22480,0,0
20230610,2023061006,222900,24062,222900,24062,0,0
20230610,2023061007,237235,25328,237235,25328,0,0
20230610,2023061008,285675,27457,285675,27457,0,0
20230610,2023061009,700269,37795,700269,37795,0,0
20230610,2023061010,1493130,69580,1493130,69580,0,0
20230610,2023061011,2486619,174926,2486619,174926,0,0
20230610,2023061012,3497818,346052,3497818,346052,0,0
20230610,2023061013,4158385,471603,4158385,471603,0,0
20230610,2023061014,4880080,557256,4880080,557256,0,0
20230610,2023061015,5831853,662501,5831853,662501,0,0
20230610,2023061016,7026936,812415,7026936,812415,0,0
20230610,2023061017,8390124,991605,8390124,991605,0,0
20230610,2023061018,9881750,1203998,9881750,1203998,0,0
20230610,2023061019,11355320,1497172,11355320,1497172,0,0
20230610,2023061020,12527856,1742485,12527856,1742485,0,0
20230610,2023061021,13313948,1894953,13313948,1894953,0,0
20230610,2023061022,13771788,1995414,13771788,1995414,0,0
20230610,2023061023,14026132,2050062,14026132,2050062,0,0
20230610,2023061024,14149434,2073126,14149434,2073126,0,0
20230611,2023061101,82515,6412,82515,6412,0,0
20230611,2023061102,135800,13668,135800,13668,0,0
20230611,2023061103,165324,17678,165324,17678,0,0
20230611,2023061104,180755,20729,180755,20729,0,0
20230611,2023061105,192383,23727,192383,23727,0,0
20230611,2023061106,201858,25253,201858,25253,0,0
20230611,2023061107,215832,26381,215832,26381,0,0
20230611,2023061108,256067,27762,256067,27762,0,0
20230611,2023061109,644470,35640,644470,35640,0,0
20230611,2023061110,1388757,62309,1388757,62309,0,0
20230611,2023061111,2314125,153780,2314125,153780,0,0
20230611,2023061112,3233276,312260,3233276,312260,0,0
20230611,2023061113,3829834,428411,3829834,428411,0,0
20230611,2023061114,4513922,506548,4513922,506548,0,0
20230611,2023061115,5416826,598363,5416826,598363,0,0
20230611,2023061116,6542030,732050,6542030,732050,0,0
