流向-静态底表（dm_ordi_predict.dws_static_cityflow_base）,,,,,,,,,,,,,,,差异,,,,,,
,剔除后,,,,,,,剔除前,,,,,,,,,,,,,
日期范围,count(1),all_waybill_num,all_quantity,all_waybill_num_air,all_quantity_air,fact_air_waybill_num,fact_air_quantity,count(1),all_waybill_num,all_quantity,all_waybill_num_air,all_quantity_air,fact_air_waybill_num,fact_air_quantity,count(1),all_waybill_num,all_quantity,all_waybill_num_air,all_quantity_air,fact_air_waybill_num,fact_air_quantity
20230513~20230626,22594584,1176521396,1230695084,109454496,111210931,111690215,113446960,26410758,1407812696,1471308086,110308876,112074245,114932776,116752968,3816174,231291300,240613002,854380,863314,3242561,3306008
,,,,,,,,,,,,,,,14.45%,16.43%,16.35%,0.77%,0.77%,2.82%,2.83%
"静态底表：
1、行数，件量下降，符合剔除逻辑
2、件量下降幅度和航空件量下降幅度基本一直，符合剔除航空件路由逻辑",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
流向-航空特快件（dm_ordi_predict.dws_static_cityflow_tekuai_base）,,,,,,,,,,,,,,,,,,,,,
日期范围,剔除后,,,剔除前,,,差异,,,,,,,,,,,,,,
,count(1),特快运单数,特快件量,count(1),特快运单数,特快件量,count(1),特快运单数,特快件量,,,,,,,,,,,,
20230513~20230626,6645464,148783025,151349352,6579602,149046764,151593786,-65862,263739,244434,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"特快件：
1、行数增多原因：新增两个产品，筛选数据变多
2、件量，单数变少：因为航空件剔除路由代码",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
