3、流向静态底表，old_city_code数据量统计（截止20230612）,,,
cityflow,inc_day,sum(all_waybill_num),sum(all_quantity)
731-754,20230606,1,1
027-731,20230530,1,1
731-579,20230415,1,1
731-599,20230405,1,1
731-595,20230217,1,1
731-020,20230208,1,1
731-027,20230118,1,1
731-579,20230117,1,1
731-574,20230112,1,1
731-758,20221230,1,1
731-755,20221227,1,1
731-758,20221210,3,3
571-731,20221123,1,1
571-731,20221119,1,1
571-731,20221113,4,4
731-028,20221113,1,1
571-731,20221112,8,8
571-731,20221111,6,6
571-731,20221110,1,1
571-731,20221106,1,1
571-733,20221106,1,1
731-7311,20221106,1,1
571-731,20221105,2,2
571-731,20221103,1,1
571-733,20221103,1,1
731-760,20221029,1,1
731-730,20221028,1,1
731-878,20220926,1,1
731-769,20220822,1,1
731-7311,20220818,1,1
731-7311,20220813,1,1
574-731,20220620,1,1
571-731,20220620,1,1
731-791,20220609,1,1
731-757,20220508,1,1
731-571,20220426,1,1
731-751,20220419,1,1
AMS-731,20220414,15,15
TYO-731,20220413,1,1
TYO-731,20220412,9,9
TYO-731,20220411,2,2
TYO-731,20220410,2,2
TYO-731,20220409,17,17
AMS-731,20220408,5,5
TYO-731,20220408,3,3
TYO-731,20220407,25,25
AMS-731,20220407,1,1
TYO-731,20220406,26,26
AMS-731,20220406,16,16
AMS-731,20220405,22,22
TYO-731,20220405,35,35
AMS-731,20220404,130,130
TYO-731,20220404,23,23
TYO-731,20220403,29,29
TYO-731,20220402,14,14
AMS-731,20220401,13,13
TYO-731,20220401,6,6
TYO-731,20220331,7,7
AMS-731,20220331,12,12
AMS-731,20220330,23,23
AMS-731,20220329,18,18
AMS-731,20220328,17,17
TYO-731,20220327,11,11
731-510,20220326,1,1
AMS-731,20220325,40,40
TYO-731,20220325,19,19
AMS-731,20220324,6,6
TYO-731,20220323,1,1
AMS-731,20220323,3,3
AMS-731,20220322,1,1
TYO-731,20220322,1,1
AMS-731,20220321,1,1
TYO-731,20220320,3,3
AMS-731,20220319,4,4
